airport,airport_name,municipality,iso_region,iso_country,elevation_ft,latitude_deg,longitude_deg
MCW,"Mason City, IA: Mason City Municipal",Mason City,US-IA,US,1213.0,43.157798767100005,-93.3312988281
MDT,"Harrisburg, PA: Harrisburg International",Harrisburg,US-PA,US,310.0,40.1935005188,-76.7633972168
MDW,"Chicago, IL: Chicago Midway International",Chicago,US-IL,US,620.0,41.7859992980957,-87.75240325927734
MEI,"Meridian, MS: Key Field",Meridian,US-MS,US,297.0,32.33259963989258,-88.75189971923828
MEM,"Memphis, TN: Memphis International",Memphis,US-TN,US,341.0,35.04240036010742,-89.97669982910156
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",Mc Allen,US-TX,US,107.0,26.17580032,-98.23860168
MFR,"Medford, OR: Rogue Valley International - Medford",Medford,US-OR,US,1335.0,42.37419891357422,-122.8730010986328
MGM,"Montgomery, AL: Montgomery Regional",Montgomery,US-AL,US,221.0,32.30059814,-86.39399719
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",Manhattan,US-KS,US,1057.0,39.14099884033203,-96.6707992553711
MHT,"Manchester, NH: Manchester-Boston Regional",Manchester,US-NH,US,266.0,42.93259811401367,-71.43569946289062
MIA,"Miami, FL: Miami International",Miami,US-FL,US,8.0,25.79319953918457,-80.29060363769531
MKC,"Kansas City, MO: Charles B. Wheeler Downtown",Kansas City,US-MO,US,759.0,39.12319946289063,-94.5927963256836
MKE,"Milwaukee, WI: General Mitchell International",Milwaukee,US-WI,US,723.0,42.94720077514648,-87.89659881591797
MKG,"Muskegon, MI: Muskegon County",Muskegon,US-MI,US,629.0,43.16949844,-86.23819733
MKK,"Hoolehua, HI: Molokai",Kaunakakai,US-HI,US,454.0,21.15290069580078,-157.0959930419922
MLB,"Melbourne, FL: Melbourne International",Melbourne,US-FL,US,33.0,28.10280036926269,-80.64530181884766
MLI,"Moline, IL: Quad City International",Moline,US-IL,US,590.0,41.44850158691406,-90.50749969482422
MLU,"Monroe, LA: Monroe Regional",Monroe,US-LA,US,79.0,32.51089859008789,-92.0376968383789
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport",Mammoth Lakes,US-CA,US,7135.0,37.62409973,-118.8379974
MOB,"Mobile, AL: Mobile Regional",Mobile,US-AL,US,219.0,30.691200256348,-88.242797851562
MOD,"Modesto, CA: Modesto City-County-Harry Sham Field",Modesto,US-CA,US,97.0,37.62580109,-120.9540024
MOT,"Minot, ND: Minot International",Minot,US-ND,US,1716.0,48.2593994140625,-101.27999877929688
MQT,"Marquette, MI: Sawyer International",Marquette,US-MI,US,1221.0,46.3535995483,-87.395401001
MRY,"Monterey, CA: Monterey Regional",Monterey,US-CA,US,257.0,36.58700180053711,-121.84300231933594
MSN,"Madison, WI: Dane County Regional-Truax Field",Madison,US-WI,US,887.0,43.13990020751953,-89.3375015258789
MSO,"Missoula, MT: Missoula International",Missoula,US-MT,US,3206.0,46.91630173,-114.0910034
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Minneapolis,US-MN,US,841.0,44.8819999695,-93.2218017578
MSY,"New Orleans, LA: Louis Armstrong New Orleans International",New Orleans,US-LA,US,4.0,29.99340057373047,-90.25800323486328
MTJ,"Montrose/Delta, CO: Montrose Regional",Montrose,US-CO,US,5759.0,38.5097999573,-107.893997192
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",Martha's Vineyard,US-MA,US,67.0,41.3931007385,-70.6143035889
MWH,"Moses Lake, WA: Grant County International",Moses Lake,US-WA,US,1189.0,47.20769882,-119.3199997
MYR,"Myrtle Beach, SC: Myrtle Beach International",Myrtle Beach,US-SC,US,25.0,33.6796989441,-78.9282989502
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Jacksonville,US-NC,US,94.0,34.8292007446,-77.61209869380001
OAK,"Oakland, CA: Metropolitan Oakland International",Oakland,US-CA,US,9.0,37.721298,-122.221001
OGD,"Ogden, UT: Ogden-Hinckley",Ogden,US-UT,US,4473.0,41.195899963379,-112.0120010376
OGG,"Kahului, HI: Kahului Airport",Kahului,US-HI,US,54.0,20.8986,-156.429993
OGS,"Ogdensburg, NY: Ogdensburg International",Ogdensburg,US-NY,US,297.0,44.6819000244,-75.46549987790002
OKC,"Oklahoma City, OK: Will Rogers World",Oklahoma City,US-OK,US,1295.0,35.39310073852539,-97.60070037841795
OMA,"Omaha, NE: Eppley Airfield",Omaha,US-NE,US,984.0,41.303199768066406,-95.89409637451172
OME,"Nome, AK: Nome Airport",Nome,US-AK,US,37.0,64.51219940185547,-165.44500732421875
ONT,"Ontario, CA: Ontario International",Ontario,US-CA,US,944.0,34.055999755859375,-117.60099792480467
ORD,"Chicago, IL: Chicago O'Hare International",Chicago,US-IL,US,672.0,41.97859955,-87.90480042
ORF,"Norfolk, VA: Norfolk International",Norfolk,US-VA,US,26.0,36.89459991455078,-76.20120239257812
ORH,"Worcester, MA: Worcester Regional",Worcester,US-MA,US,1009.0,42.26729965209961,-71.87570190429688
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional",North Bend,US-OR,US,17.0,43.41709899902344,-124.24600219726562
OTZ,"Kotzebue, AK: Ralph Wien Memorial",Kotzebue,US-AK,US,14.0,66.88469696,-162.598999
OWB,"Owensboro, KY: Owensboro Daviess County Regional",Owensboro,US-KY,US,407.0,37.74010086,-87.16680145
OXR,"Oxnard/Ventura, CA: Oxnard",Oxnard,US-CA,US,45.0,34.200801849365,-119.20700073242
PAE,"Everett, WA: Snohomish County",Everett,US-WA,US,606.0,47.90629959,-122.2819977
PAH,"Paducah, KY: Barkley Regional",Paducah,US-KY,US,410.0,37.06079864501953,-88.7738037109375
PBG,"Plattsburgh, NY: Plattsburgh International",Plattsburgh,US-NY,US,234.0,44.6509017944336,-73.46810150146484
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",West Palm Beach,US-FL,US,19.0,26.68320083618164,-80.09559631347656
PDX,"Portland, OR: Portland International",Portland,US-OR,US,31.0,45.58869934,-122.5979996
PGD,"Punta Gorda, FL: Punta Gorda Airport",Punta Gorda,US-FL,US,26.0,26.92020035,-81.9905014
PGV,"Greenville, NC: Pitt Greenville",Greenville,US-NC,US,26.0,35.6352005,-77.38529968
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Newport News,US-VA,US,42.0,37.13190079,-76.49299622
PHL,"Philadelphia, PA: Philadelphia International",Philadelphia,US-PA,US,36.0,39.87189865112305,-75.24109649658203
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Phoenix,US-AZ,US,1135.0,33.43429946899414,-112.01200103759766
PIA,"Peoria, IL: General Downing - Peoria International",Peoria,US-IL,US,660.0,40.664199829100006,-89.6932983398
PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",Hattiesburg/Laurel,US-MS,US,298.0,31.467100143432617,-89.33709716796875
PIE,"St. Petersburg, FL: St Pete Clearwater International",St Petersburg-Clearwater,US-FL,US,11.0,27.91020012,-82.68740082
PIH,"Pocatello, ID: Pocatello Regional",Pocatello,US-ID,US,4452.0,42.9098014831543,-112.59600067138672
PIR,"Pierre, SD: Pierre Regional",Pierre,US-SD,US,1744.0,44.38270187,-100.2860031
PIT,"Pittsburgh, PA: Pittsburgh International",Pittsburgh,US-PA,US,1203.0,40.49150085,-80.23290253
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County",Pellston,US-MI,US,721.0,45.57089996,-84.79669952
PMD,"Palmdale, CA: Palmdale USAF Plant 42",Palmdale,US-CA,US,2543.0,34.62939835,-118.0849991
PNS,"Pensacola, FL: Pensacola International",Pensacola,US-FL,US,121.0,30.473400115967,-87.186599731445
PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field",Prescott,US-AZ,US,5045.0,34.65449905,-112.4199982
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",Pasco,US-WA,US,410.0,46.26470184326172,-119.11900329589844
PSG,"Petersburg, AK: Petersburg James A Johnson",Petersburg,US-AK,US,111.0,56.80170059,-132.9450073
PSM,"Portsmouth, NH: Portsmouth International at Pease",Portsmouth,US-NH,US,100.0,43.0778999329,-70.8233032227
PSP,"Palm Springs, CA: Palm Springs International",Palm Springs,US-CA,US,477.0,33.8297004699707,-116.50700378417967
PUB,"Pueblo, CO: Pueblo Memorial",Pueblo,US-CO,US,4726.0,38.289100646972656,-104.49700164794922
PUW,"Pullman, WA: Pullman Moscow Regional",Pullman/Moscow,US-WA,US,2556.0,46.7439,-117.110001
PVD,"Providence, RI: Theodore Francis Green State",Providence,US-RI,US,55.0,41.73260116577149,-71.42040252685547
PVU,"Provo, UT: Provo Municipal",Provo,US-UT,US,4497.0,40.219200134277,-111.72299957275
PWM,"Portland, ME: Portland International Jetport",Portland,US-ME,US,76.0,43.64619827,-70.30930328
RAP,"Rapid City, SD: Rapid City Regional",Rapid City,US-SD,US,3204.0,44.0452995300293,-103.05699920654295
RCA,"Rapid City, SD: Ellsworth AFB",Rapid City,US-SD,US,3276.0,44.14500046,-103.1039963
RDD,"Redding, CA: Redding Municipal",Redding,US-CA,US,505.0,40.50899887,-122.2929993
RDM,"Bend/Redmond, OR: Roberts Field",Redmond,US-OR,US,3080.0,44.2541008,-121.1500015
RDU,"Raleigh/Durham, NC: Raleigh-Durham International",Raleigh/Durham,US-NC,US,435.0,35.87760162353516,-78.7874984741211
RFD,"Rockford, IL: Chicago/Rockford International",Chicago/Rockford,US-IL,US,742.0,42.19540023803711,-89.09719848632812
RHI,"Rhinelander, WI: Rhinelander/Oneida County",Rhinelander,US-WI,US,1624.0,45.63119888305664,-89.46749877929688
RIC,"Richmond, VA: Richmond International",Richmond,US-VA,US,167.0,37.50519943237305,-77.3197021484375
RIW,"Riverton/Lander, WY: Riverton Regional",Riverton,US-WY,US,5525.0,43.064201355,-108.459999084
RKS,"Rock Springs, WY: Southwest Wyoming Regional",Rock Springs,US-WY,US,6764.0,41.59420013,-109.0650024
RNO,"Reno, NV: Reno/Tahoe International",Reno,US-NV,US,4415.0,39.49909973144531,-119.76799774169922
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Roanoke,US-VA,US,1175.0,37.3255,-79.975403
ROC,"Rochester, NY: Greater Rochester International",Rochester,US-NY,US,559.0,43.118900299072266,-77.67240142822266
ROW,"Roswell, NM: Roswell International Air Center",Roswell,US-NM,US,3671.0,33.30160140991211,-104.53099822998048
RST,"Rochester, MN: Rochester International",Rochester,US-MN,US,1317.0,43.90829849243164,-92.5
RSW,"Fort Myers, FL: Southwest Florida International",Fort Myers,US-FL,US,30.0,26.53619956970215,-81.75520324707031
SAF,"Santa Fe, NM: Santa Fe Municipal",Santa Fe,US-NM,US,6348.0,35.617099762,-106.088996887
SAN,"San Diego, CA: San Diego International",San Diego,US-CA,US,17.0,32.7336006165,-117.190002441
SAT,"San Antonio, TX: San Antonio International",San Antonio,US-TX,US,809.0,29.533700942993164,-98.46980285644533
SAV,"Savannah, GA: Savannah/Hilton Head International",Savannah,US-GA,US,50.0,32.12760162,-81.20210266
SBA,"Santa Barbara, CA: Santa Barbara Municipal",Santa Barbara,US-CA,US,13.0,34.42620087,-119.8399963
SBN,"South Bend, IN: South Bend International",South Bend,US-IN,US,799.0,41.70869827270508,-86.31729888916016
SBP,"San Luis Obispo, CA: San Luis County Regional",San Luis Obispo,US-CA,US,212.0,35.2368011475,-120.641998291
SCC,"Deadhorse, AK: Deadhorse Airport",Deadhorse,US-AK,US,65.0,70.19470215,-148.4649963
SCE,"State College, PA: University Park",State College,US-PA,US,1239.0,40.8493003845,-77.84870147710001
SCK,"Stockton, CA: Stockton Metropolitan",Stockton,US-CA,US,33.0,37.894199371338,-121.2379989624
SDF,"Louisville, KY: Louisville Muhammad Ali International",Louisville,US-KY,US,501.0,38.1744,-85.736
SEA,"Seattle, WA: Seattle/Tacoma International",Seattle,US-WA,US,433.0,47.44900131225586,-122.30899810791016
SFB,"Sanford, FL: Orlando Sanford International",Orlando,US-FL,US,55.0,28.7775993347168,-81.23750305175781
SFO,"San Francisco, CA: San Francisco International",San Francisco,US-CA,US,13.0,37.61899948120117,-122.375
SGF,"Springfield, MO: Springfield-Branson National",Springfield,US-MO,US,1268.0,37.24570084,-93.38860321
SGU,"St. George, UT: St George Regional",St George,US-UT,US,2941.0,37.036389,-113.510306
SHD,"Staunton, VA: Shenandoah Valley Regional",Staunton/Waynesboro/Harrisonburg,US-VA,US,1201.0,38.2638015747,-78.8964004517
SHR,"Sheridan, WY: Sheridan County",Sheridan,US-WY,US,4021.0,44.76919937133789,-106.9800033569336
SHV,"Shreveport, LA: Shreveport Regional",Shreveport,US-LA,US,258.0,32.44660186767578,-93.82559967041016
SIT,"Sitka, AK: Sitka Rocky Gutierrez",Sitka,US-AK,US,21.0,57.04710006713867,-135.36199951171875
SJC,"San Jose, CA: Norman Y. Mineta San Jose International",San Jose,US-CA,US,62.0,37.362598,-121.929001
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",San Angelo,US-TX,US,1919.0,31.35770034790039,-100.49600219726562
SKA,"Spokane, WA: Fairchild AFB",Spokane,US-WA,US,2461.0,47.6151008606,-117.65599823
SLC,"Salt Lake City, UT: Salt Lake City International",Salt Lake City,US-UT,US,4227.0,40.78839874267578,-111.97799682617188
SLE,"Salem, OR: McNary Field",Salem,US-OR,US,214.0,44.90950012,-123.0029984
SLN,"Salina, KS: Salina Regional",Salina,US-KS,US,1288.0,38.79100036621094,-97.6521987915039
SMF,"Sacramento, CA: Sacramento International",Sacramento,US-CA,US,27.0,38.69540023803711,-121.59100341796876
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",Santa Maria,US-CA,US,261.0,34.89889908,-120.4570007
SNA,"Santa Ana, CA: John Wayne Airport-Orange County",Santa Ana,US-CA,US,56.0,33.67570114,-117.8679962
SOP,"Pinehurst/Southern Pines, NC: Moore County",Pinehurst/Southern Pines,US-NC,US,455.0,35.23740005,-79.3911972
SPI,"Springfield, IL: Abraham Lincoln Capital",Springfield,US-IL,US,598.0,39.84410095,-89.67790222
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Wichita Falls,US-TX,US,1019.0,33.9888,-98.491898
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Sarasota/Bradenton,US-FL,US,30.0,27.39539909362793,-82.55439758300781
STC,"St. Cloud, MN: St. Cloud Regional",St Cloud,US-MN,US,1031.0,45.54660034179688,-94.05989837646484
STL,"St. Louis, MO: St Louis Lambert International",St Louis,US-MO,US,618.0,38.748697,-90.370003
STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Santa Rosa,US-CA,US,128.0,38.50899887,-122.8130035
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Hailey,US-ID,US,5318.0,43.50439835,-114.2959976
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Sioux City,US-IA,US,1098.0,42.40259933,-96.38439941
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International",Newburgh,US-NY,US,491.0,41.50410079956055,-74.10479736328125
SWO,"Stillwater, OK: Stillwater Regional",Stillwater,US-OK,US,1000.0,36.161201477051,-97.08570098877
SYR,"Syracuse, NY: Syracuse Hancock International",Syracuse,US-NY,US,421.0,43.11119842529297,-76.1063003540039
TBN,"Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field",Fort Leonard Wood,US-MO,US,1159.0,37.74160004,-92.14070129
TEX,"Telluride, CO: Telluride Regional",Telluride,US-CO,US,9070.0,37.9538002,-107.9079971
TLH,"Tallahassee, FL: Tallahassee International",Tallahassee,US-FL,US,81.0,30.396499633789062,-84.35030364990234
TOL,"Toledo, OH: Toledo Express",Toledo,US-OH,US,683.0,41.58679962,-83.80780029
TPA,"Tampa, FL: Tampa International",Tampa,US-FL,US,26.0,27.975500106811523,-82.533203125
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",Bristol/Johnson/Kingsport,US-TN,US,1519.0,36.475201,-82.407401
TTN,"Trenton, NJ: Trenton Mercer",Trenton,US-NJ,US,213.0,40.27669906616211,-74.8134994506836
TUL,"Tulsa, OK: Tulsa International",Tulsa,US-OK,US,677.0,36.19839859008789,-95.88809967041016
TUP,"Tupelo, MS: Tupelo Regional",Tupelo,US-MS,US,346.0,34.26810073852539,-88.7698974609375
TUS,"Tucson, AZ: Tucson International",Tucson,US-AZ,US,2643.0,32.1161003112793,-110.94100189208984
TVC,"Traverse City, MI: Cherry Capital",Traverse City,US-MI,US,624.0,44.74140167236328,-85.58219909667969
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",Twin Falls,US-ID,US,4154.0,42.48180008,-114.487999
TXK,"Texarkana, AR: Texarkana Regional-Webb Field",Texarkana,US-AR,US,390.0,33.45370101928711,-93.99099731445312
TYR,"Tyler, TX: Tyler Pounds Regional",Tyler,US-TX,US,544.0,32.35409927368164,-95.40239715576172
TYS,"Knoxville, TN: McGhee Tyson",Knoxville,US-TN,US,981.0,35.81100082,-83.9940033
UIN,"Quincy, IL: Quincy Regional-Baldwin Field",Quincy,US-IL,US,768.0,39.94269943,-91.19460297
USA,"Concord, NC: Concord Padgett Regional",Concord,US-NC,US,705.0,35.387798,-80.709099
UST,"St. Augustine, FL: Northeast Florida Regional",St Augustine,US-FL,US,10.0,29.9592,-81.339798
UTM,"Tunica, MS: Tunica Municipal",Tunica,US-MS,US,194.0,34.680999755859,-90.346702575684
VCT,"Victoria, TX: Victoria Regional",Victoria,US-TX,US,115.0,28.85260009765625,-96.9185028076172
VEL,"Vernal, UT: Vernal Regional",Vernal,US-UT,US,5278.0,40.4408989,-109.5100021
VIS,"Visalia, CA: Visalia Municipal",Visalia,US-CA,US,295.0,36.3186988831,-119.392997742
VLD,"Valdosta, GA: Valdosta Regional",Valdosta,US-GA,US,203.0,30.78249931335449,-83.27670288085938
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Valparaiso,US-FL,US,87.0,30.4832,-86.525398
WRG,"Wrangell, AK: Wrangell Airport",Wrangell,US-AK,US,49.0,56.48429871,-132.3699951
WYS,"West Yellowstone, MT: Yellowstone",West Yellowstone,US-MT,US,6649.0,44.68840027,-111.1179962
XNA,"Fayetteville, AR: Northwest Arkansas Regional",Fayetteville/Springdale,US-AR,US,1287.0,36.281898,-94.306801
YAK,"Yakutat, AK: Yakutat Airport",Yakutat,US-AK,US,33.0,59.5032997131,-139.660003662
YKM,"Yakima, WA: Yakima Air Terminal/McAllister Field",Yakima,US-WA,US,1099.0,46.56819916,-120.5439987
YNG,"Youngstown/Warren, OH: Youngstown-Warren Regional",Youngstown/Warren,US-OH,US,1192.0,41.26070023,-80.67910004
YUM,"Yuma, AZ: Yuma MCAS/Yuma International",Yuma,US-AZ,US,213.0,32.65660095,-114.6060028
